127.0.0.1 - - [27/May/2023:13:21:10 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/May/2023:13:21:17 +0530] "GET /student-app/login.html HTTP/1.1" 200 2642
0:0:0:0:0:0:0:1 - - [27/May/2023:13:21:18 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [27/May/2023:13:21:55 +0530] "POST /student-app/login HTTP/1.1" 405 752
0:0:0:0:0:0:0:1 - - [27/May/2023:13:22:08 +0530] "GET /student-app/login.html HTTP/1.1" 200 2641
0:0:0:0:0:0:0:1 - - [27/May/2023:13:22:08 +0530] "GET /student-app/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2023:13:22:19 +0530] "GET /student-app/login?email=soumyasoumya835%40gmail.com&password=soumya HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [27/May/2023:13:23:08 +0530] "GET /student-app/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2023:13:23:08 +0530] "GET /student-app/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2023:13:23:08 +0530] "GET /student-app/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2023:13:23:08 +0530] "GET /student-app/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2023:13:23:08 +0530] "GET /student-app/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2023:13:23:16 +0530] "GET /student-app/login?email=soumyasoumya835%40gmail.com&password=soumya HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [27/May/2023:13:23:19 +0530] "GET /student-app/add.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2023:13:24:21 +0530] "GET /student-app/add.html HTTP/1.1" 200 2736
0:0:0:0:0:0:0:1 - - [27/May/2023:13:24:24 +0530] "GET /student-app/navbar.html HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [27/May/2023:13:24:34 +0530] "GET /student-app/add.html HTTP/1.1" 200 2735
0:0:0:0:0:0:0:1 - - [27/May/2023:13:24:36 +0530] "GET /student-app/navbar.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [27/May/2023:13:25:22 +0530] "GET /student-app/navbar.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [27/May/2023:13:25:22 +0530] "GET /student-app/navbar.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [27/May/2023:13:25:22 +0530] "GET /student-app/navbar.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [27/May/2023:13:25:34 +0530] "GET /student-app/login?email=soumyasoumya83%40gmail.com&password=soumya HTTP/1.1" 200 2680
0:0:0:0:0:0:0:1 - - [27/May/2023:13:25:59 +0530] "GET /student-app/login?email=soumyasoumya83%40gmail.com&password=soumya HTTP/1.1" 200 2680
0:0:0:0:0:0:0:1 - - [27/May/2023:13:31:01 +0530] "GET /student-app/login?email=soumyasoumya83%40gmail.com&password=soumya HTTP/1.1" 200 2680
0:0:0:0:0:0:0:1 - - [27/May/2023:13:31:01 +0530] "GET /student-app/login?email=soumyasoumya83%40gmail.com&password=soumya HTTP/1.1" 200 2680
0:0:0:0:0:0:0:1 - - [27/May/2023:13:31:01 +0530] "GET /student-app/login?email=soumyasoumya83%40gmail.com&password=soumya HTTP/1.1" 200 2680
0:0:0:0:0:0:0:1 - - [27/May/2023:13:31:01 +0530] "GET /student-app/login?email=soumyasoumya83%40gmail.com&password=soumya HTTP/1.1" 200 2680
0:0:0:0:0:0:0:1 - - [27/May/2023:13:31:06 +0530] "GET /student-app/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2023:13:31:06 +0530] "GET /student-app/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2023:13:31:06 +0530] "GET /student-app/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2023:13:31:06 +0530] "GET /student-app/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2023:13:31:06 +0530] "GET /student-app/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2023:13:31:19 +0530] "GET /student-app/login?email=soumyasoumya835%40gmail.com&password=soumya HTTP/1.1" 200 1178
